t_gene	t_transcript	q_gene	q_transcript	orthology_class
ENSG00000105609	ENST00000449561	reg_10596	ENST00000449561.1751	many2many
ENSG00000105609	ENST00000449561	reg_10735	ENST00000449561.608	many2many
ENSG00000105609	ENST00000449561	reg_2023	ENST00000449561.48	many2many
ENSG00000105609	ENST00000449561	reg_1966	ENST00000449561.8146	many2many
ENSG00000105609	ENST00000449561	reg_1997	ENST00000449561.1838	many2many
ENSG00000105609	ENST00000345866	reg_10596	ENST00000345866.1751	many2many
ENSG00000105609	ENST00000345866	reg_2023	ENST00000345866.48	many2many
ENSG00000105609	ENST00000345866	reg_1966	ENST00000345866.8146	many2many
ENSG00000105609	ENST00000345866	reg_2354	ENST00000345866.5199	many2many
ENSG00000105609	ENST00000345866	reg_1997	ENST00000345866.1838	many2many
ENSG00000105609	ENST00000345866	reg_2036	ENST00000345866.185405	many2many
ENSG00000105609	ENST00000345866	reg_10735	ENST00000345866.608	many2many
ENSG00000239998	ENST00000251376	reg_1966	ENST00000251376.51611	many2many
ENSG00000239998	ENST00000251376	reg_2036	ENST00000251376.4749	many2many
ENSG00000239998	ENST00000251376	reg_1984	ENST00000251376.2658	many2many
ENSG00000239998	ENST00000251376	reg_1997	ENST00000251376.608	many2many
ENSG00000239998	ENST00000251376	reg_10573	ENST00000251376.2838	many2many
ENSG00000239998	ENST00000251376	reg_17942	ENST00000251376.104169	many2many
ENSG00000239998	ENST00000251376	reg_2126	ENST00000251376.5216	many2many
ENSG00000239998	ENST00000251376	reg_10596	ENST00000251376.48	many2many
ENSG00000239998	ENST00000391737	reg_2036	ENST00000391737.4749	many2many
ENSG00000239998	ENST00000391737	reg_1984	ENST00000391737.2658	many2many
ENSG00000239998	ENST00000391737	reg_10596	ENST00000391737.48	many2many
ENSG00000239998	ENST00000391737	reg_10573	ENST00000391737.2838	many2many
ENSG00000239998	ENST00000391737	reg_10772	ENST00000391737.5694	many2many
ENSG00000239998	ENST00000391737	reg_1997	ENST00000391737.608	many2many
ENSG00000239998	ENST00000391737	reg_2126	ENST00000391737.5216	many2many
ENSG00000239998	ENST00000251377	reg_2126	ENST00000251377.5216	many2many
ENSG00000239998	ENST00000251377	reg_10573	ENST00000251377.2838	many2many
ENSG00000239998	ENST00000251377	reg_17942	ENST00000251377.104169	many2many
ENSG00000239998	ENST00000251377	reg_10596	ENST00000251377.48	many2many
ENSG00000239998	ENST00000251377	reg_1966	ENST00000251377.51611	many2many
ENSG00000239998	ENST00000251377	reg_2036	ENST00000251377.4749	many2many
ENSG00000239998	ENST00000391738	reg_17942	ENST00000391738.104169	many2many
ENSG00000239998	ENST00000391738	reg_10573	ENST00000391738.2838	many2many
ENSG00000239998	ENST00000391738	reg_2036	ENST00000391738.4749	many2many
ENSG00000239998	ENST00000391738	reg_1966	ENST00000391738.51611	many2many
ENSG00000239998	ENST00000391738	reg_10596	ENST00000391738.48	many2many
ENSG00000131042	ENST00000314446	reg_17942	ENST00000314446.99153	many2many
ENSG00000131042	ENST00000314446	reg_1997	ENST00000314446.7205	many2many
ENSG00000131042	ENST00000314446	reg_10610	ENST00000314446.1751	many2many
ENSG00000131042	ENST00000314446	reg_2023	ENST00000314446.4037	many2many
ENSG00000131042	ENST00000314446	reg_10735	ENST00000314446.2063	many2many
ENSG00000131042	ENST00000314446	reg_2036	ENST00000314446.189826	many2many
ENSG00000131042	ENST00000314446	reg_10573	ENST00000314446.608	many2many
ENSG00000131042	ENST00000314446	reg_10596	ENST00000314446.1298	many2many
ENSG00000131042	ENST00000314446	reg_1984	ENST00000314446.48	many2many
ENSG00000131042	ENST00000314446	reg_1966	ENST00000314446.3102	many2many
ENSG00000131042	ENST00000391749	reg_2036	ENST00000391749.189826	many2many
ENSG00000131042	ENST00000391749	reg_10735	ENST00000391749.2063	many2many
ENSG00000131042	ENST00000391749	reg_1997	ENST00000391749.7205	many2many
ENSG00000131042	ENST00000391749	reg_1984	ENST00000391749.48	many2many
ENSG00000131042	ENST00000391749	reg_2023	ENST00000391749.4037	many2many
ENSG00000131042	ENST00000391749	reg_1966	ENST00000391749.3102	many2many
ENSG00000131042	ENST00000391749	reg_10573	ENST00000391749.608	many2many
ENSG00000131042	ENST00000391749	reg_10610	ENST00000391749.1751	many2many
ENSG00000131042	ENST00000391749	reg_17942	ENST00000391749.99153	many2many
ENSG00000131042	ENST00000391749	reg_10596	ENST00000391749.1298	many2many
ENSG00000131042	ENST00000434421	reg_10596	ENST00000434421.1298	many2many
ENSG00000131042	ENST00000434421	reg_1997	ENST00000434421.7205	many2many
ENSG00000131042	ENST00000434421	reg_10735	ENST00000434421.2063	many2many
ENSG00000131042	ENST00000434421	reg_10573	ENST00000434421.608	many2many
ENSG00000131042	ENST00000434421	reg_10610	ENST00000434421.1751	many2many
ENSG00000131042	ENST00000434421	reg_2036	ENST00000434421.10103	many2many
ENSG00000131042	ENST00000434421	reg_1984	ENST00000434421.48	many2many
ENSG00000131042	ENST00000434421	reg_1966	ENST00000434421.3102	many2many
ENSG00000131042	ENST00000391746	reg_17942	ENST00000391746.99153	many2many
ENSG00000131042	ENST00000391746	reg_1997	ENST00000391746.7205	many2many
ENSG00000131042	ENST00000391746	reg_10610	ENST00000391746.1751	many2many
ENSG00000131042	ENST00000391746	reg_2036	ENST00000391746.189826	many2many
ENSG00000131042	ENST00000391746	reg_2023	ENST00000391746.4037	many2many
ENSG00000131042	ENST00000391746	reg_10596	ENST00000391746.1298	many2many
ENSG00000131042	ENST00000391746	reg_1984	ENST00000391746.48	many2many
ENSG00000131042	ENST00000391746	reg_10735	ENST00000391746.2063	many2many
ENSG00000131042	ENST00000391746	reg_10573	ENST00000391746.608	many2many
ENSG00000131042	ENST00000391748	reg_1997	ENST00000391748.7205	many2many
ENSG00000131042	ENST00000391748	reg_10610	ENST00000391748.1751	many2many
ENSG00000131042	ENST00000391748	reg_2036	ENST00000391748.189826	many2many
ENSG00000131042	ENST00000391748	reg_10735	ENST00000391748.2063	many2many
ENSG00000131042	ENST00000391748	reg_1966	ENST00000391748.3102	many2many
ENSG00000131042	ENST00000391748	reg_2023	ENST00000391748.4037	many2many
ENSG00000131042	ENST00000391748	reg_10596	ENST00000391748.1298	many2many
ENSG00000131042	ENST00000391748	reg_17942	ENST00000391748.99153	many2many
ENSG00000131042	ENST00000391748	reg_1984	ENST00000391748.48	many2many
ENSG00000131042	ENST00000391748	reg_10573	ENST00000391748.608	many2many
ENSG00000189430	ENST00000594765	reg_10662	ENST00000594765.48	many2many
ENSG00000189430	ENST00000291890	reg_10662	ENST00000291890.48	many2many
ENSG00000189430	ENST00000598576	reg_10662	ENST00000598576.48	many2many
ENSG00000189430	ENST00000338835	reg_10662	ENST00000338835.48	many2many
ENSG00000244482	ENST00000396365	reg_17942	ENST00000396365.90858	many2many
ENSG00000244482	ENST00000396365	reg_10735	ENST00000396365.4733	many2many
ENSG00000244482	ENST00000396365	reg_10573	ENST00000396365.1298	many2many
ENSG00000244482	ENST00000396365	reg_2036	ENST00000396365.48	many2many
ENSG00000244482	ENST00000396365	reg_10596	ENST00000396365.10082	many2many
ENSG00000244482	ENST00000245621	reg_10735	ENST00000245621.4733	many2many
ENSG00000244482	ENST00000245621	reg_10573	ENST00000245621.1298	many2many
ENSG00000244482	ENST00000245621	reg_10596	ENST00000245621.10082	many2many
ENSG00000244482	ENST00000245621	reg_17942	ENST00000245621.90858	many2many
ENSG00000244482	ENST00000245621	reg_2036	ENST00000245621.48	many2many
ENSG00000244482	ENST00000245621	reg_10662	ENST00000245621.4981	many2many
ENSG00000239961	ENST00000291759	reg_2036	ENST00000291759.3102	many2many
ENSG00000239961	ENST00000291759	reg_10610	ENST00000291759.1298	many2many
ENSG00000239961	ENST00000291759	reg_10596	ENST00000291759.608	many2many
ENSG00000239961	ENST00000291759	reg_1997	ENST00000291759.4037	many2many
ENSG00000239961	ENST00000291759	reg_10573	ENST00000291759.6512	many2many
ENSG00000187116	ENST00000486742	reg_1997	ENST00000486742.48	many2many
ENSG00000187116	ENST00000486742	reg_2023	ENST00000486742.6568	many2many
ENSG00000187116	ENST00000486742	reg_10573	ENST00000486742.2063	many2many
ENSG00000187116	ENST00000486742	reg_1984	ENST00000486742.12835	many2many
ENSG00000187116	ENST00000486742	reg_2036	ENST00000486742.10103	many2many
ENSG00000187116	ENST00000486742	reg_10610	ENST00000486742.41571	many2many
ENSG00000187116	ENST00000432233	reg_10610	ENST00000432233.41571	many2many
ENSG00000187116	ENST00000432233	reg_1997	ENST00000432233.48	many2many
ENSG00000187116	ENST00000432233	reg_10573	ENST00000432233.2063	many2many
ENSG00000187116	ENST00000432233	reg_2036	ENST00000432233.10103	many2many
ENSG00000187116	ENST00000432233	reg_2023	ENST00000432233.6568	many2many
ENSG00000104972	ENST00000396315	reg_10610	ENST00000396315.22404	many2many
ENSG00000104972	ENST00000396315	reg_1997	ENST00000396315.2780	many2many
ENSG00000104972	ENST00000396315	reg_17942	ENST00000396315.97726	many2many
ENSG00000104972	ENST00000396315	reg_10573	ENST00000396315.48	many2many
ENSG00000104972	ENST00000396315	reg_10772	ENST00000396315.11772	many2many
ENSG00000104972	ENST00000396315	reg_1984	ENST00000396315.2564	many2many
ENSG00000104972	ENST00000396315	reg_10735	ENST00000396315.1501	many2many
ENSG00000104972	ENST00000396315	reg_10596	ENST00000396315.1693	many2many
ENSG00000104972	ENST00000396315	reg_1966	ENST00000396315.2658	many2many
ENSG00000104972	ENST00000396315	reg_2036	ENST00000396315.608	many2many
ENSG00000104972	ENST00000396327	reg_1984	ENST00000396327.2564	many2many
ENSG00000104972	ENST00000396327	reg_1966	ENST00000396327.2658	many2many
ENSG00000104972	ENST00000396327	reg_2036	ENST00000396327.608	many2many
ENSG00000104972	ENST00000396327	reg_10573	ENST00000396327.48	many2many
ENSG00000104972	ENST00000396327	reg_10735	ENST00000396327.1501	many2many
ENSG00000104972	ENST00000396327	reg_17942	ENST00000396327.97726	many2many
ENSG00000104972	ENST00000396327	reg_10610	ENST00000396327.22404	many2many
ENSG00000104972	ENST00000396327	reg_10596	ENST00000396327.1693	many2many
ENSG00000104972	ENST00000396327	reg_10772	ENST00000396327.11772	many2many
ENSG00000104972	ENST00000396327	reg_1997	ENST00000396327.2780	many2many
ENSG00000104972	ENST00000427581	reg_1984	ENST00000427581.2564	many2many
ENSG00000104972	ENST00000427581	reg_2036	ENST00000427581.608	many2many
ENSG00000104972	ENST00000427581	reg_1997	ENST00000427581.2780	many2many
ENSG00000104972	ENST00000427581	reg_10772	ENST00000427581.11772	many2many
ENSG00000104972	ENST00000427581	reg_10573	ENST00000427581.48	many2many
ENSG00000104972	ENST00000427581	reg_10596	ENST00000427581.1693	many2many
ENSG00000104972	ENST00000427581	reg_10610	ENST00000427581.22404	many2many
ENSG00000104972	ENST00000427581	reg_1966	ENST00000427581.2658	many2many
ENSG00000104972	ENST00000427581	reg_10735	ENST00000427581.1501	many2many
ENSG00000104972	ENST00000324602	reg_1997	ENST00000324602.2780	many2many
ENSG00000104972	ENST00000324602	reg_1966	ENST00000324602.2658	many2many
ENSG00000104972	ENST00000324602	reg_10735	ENST00000324602.1501	many2many
ENSG00000104972	ENST00000324602	reg_10772	ENST00000324602.11772	many2many
ENSG00000104972	ENST00000324602	reg_2036	ENST00000324602.608	many2many
ENSG00000104972	ENST00000324602	reg_10610	ENST00000324602.22404	many2many
ENSG00000104972	ENST00000324602	reg_17942	ENST00000324602.97726	many2many
ENSG00000104972	ENST00000324602	reg_10596	ENST00000324602.1693	many2many
ENSG00000104972	ENST00000324602	reg_10573	ENST00000324602.48	many2many
ENSG00000104972	ENST00000324602	reg_1984	ENST00000324602.2564	many2many
ENSG00000104972	ENST00000396317	reg_17942	ENST00000396317.97726	many2many
ENSG00000104972	ENST00000396317	reg_1997	ENST00000396317.2780	many2many
ENSG00000104972	ENST00000396317	reg_1984	ENST00000396317.2564	many2many
ENSG00000104972	ENST00000396317	reg_2036	ENST00000396317.608	many2many
ENSG00000104972	ENST00000396317	reg_10610	ENST00000396317.22404	many2many
ENSG00000104972	ENST00000396317	reg_10772	ENST00000396317.11772	many2many
ENSG00000104972	ENST00000396317	reg_1966	ENST00000396317.2658	many2many
ENSG00000104972	ENST00000396317	reg_10573	ENST00000396317.48	many2many
ENSG00000104972	ENST00000396317	reg_10735	ENST00000396317.1501	many2many
ENSG00000104972	ENST00000396317	reg_2023	ENST00000396317.9309	many2many
ENSG00000104972	ENST00000396331	reg_17942	ENST00000396331.97726	many2many
ENSG00000104972	ENST00000396331	reg_1966	ENST00000396331.2658	many2many
ENSG00000104972	ENST00000396331	reg_2036	ENST00000396331.608	many2many
ENSG00000104972	ENST00000396331	reg_10573	ENST00000396331.48	many2many
ENSG00000104972	ENST00000396331	reg_10735	ENST00000396331.1501	many2many
ENSG00000104972	ENST00000396331	reg_1997	ENST00000396331.2780	many2many
ENSG00000104972	ENST00000396331	reg_10596	ENST00000396331.1693	many2many
ENSG00000104972	ENST00000396331	reg_1984	ENST00000396331.2564	many2many
ENSG00000104972	ENST00000396332	reg_10772	ENST00000396332.11772	many2many
ENSG00000104972	ENST00000396332	reg_10610	ENST00000396332.22404	many2many
ENSG00000104972	ENST00000396332	reg_1966	ENST00000396332.2658	many2many
ENSG00000104972	ENST00000396332	reg_1997	ENST00000396332.2780	many2many
ENSG00000104972	ENST00000396332	reg_10596	ENST00000396332.1693	many2many
ENSG00000104972	ENST00000396332	reg_10573	ENST00000396332.48	many2many
ENSG00000104972	ENST00000396332	reg_1984	ENST00000396332.2564	many2many
ENSG00000104972	ENST00000396332	reg_17942	ENST00000396332.97726	many2many
ENSG00000104972	ENST00000396332	reg_2036	ENST00000396332.608	many2many
ENSG00000104972	ENST00000396332	reg_10735	ENST00000396332.1501	many2many
ENSG00000186818	ENST00000391736	reg_17942	ENST00000391736.124034	many2many
ENSG00000186818	ENST00000391736	reg_1966	ENST00000391736.608	many2many
ENSG00000186818	ENST00000391736	reg_10735	ENST00000391736.48	many2many
ENSG00000186818	ENST00000391736	reg_10855	ENST00000391736.1693	many2many
ENSG00000186818	ENST00000391736	reg_1997	ENST00000391736.8102	many2many
ENSG00000186818	ENST00000391736	reg_2023	ENST00000391736.2564	many2many
ENSG00000186818	ENST00000391736	reg_1997	ENST00000391736.2780	many2many
ENSG00000186818	ENST00000391734	reg_10855	ENST00000391734.1693	many2many
ENSG00000186818	ENST00000391734	reg_10735	ENST00000391734.48	many2many
ENSG00000186818	ENST00000391734	reg_2036	ENST00000391734.9309	many2many
ENSG00000186818	ENST00000391734	reg_2023	ENST00000391734.2564	many2many
ENSG00000186818	ENST00000391734	reg_1997	ENST00000391734.2780	many2many
ENSG00000186818	ENST00000391734	reg_1997	ENST00000391734.8102	many2many
ENSG00000186818	ENST00000391734	reg_17942	ENST00000391734.124034	many2many
ENSG00000186818	ENST00000391734	reg_1966	ENST00000391734.608	many2many
ENSG00000186818	ENST00000391733	reg_10855	ENST00000391733.1693	many2many
ENSG00000186818	ENST00000391733	reg_17942	ENST00000391733.124034	many2many
ENSG00000186818	ENST00000391733	reg_1997	ENST00000391733.8102	many2many
ENSG00000186818	ENST00000391733	reg_1997	ENST00000391733.2780	many2many
ENSG00000186818	ENST00000391733	reg_2023	ENST00000391733.2564	many2many
ENSG00000186818	ENST00000391733	reg_10735	ENST00000391733.48	many2many
ENSG00000186818	ENST00000391733	reg_2036	ENST00000391733.9309	many2many
ENSG00000186818	ENST00000391733	reg_1966	ENST00000391733.608	many2many
ENSG00000186818	ENST00000430952	reg_2023	ENST00000430952.2564	many2many
ENSG00000186818	ENST00000430952	reg_1997	ENST00000430952.8102	many2many
ENSG00000186818	ENST00000430952	reg_10735	ENST00000430952.48	many2many
ENSG00000186818	ENST00000430952	reg_17942	ENST00000430952.124034	many2many
ENSG00000186818	ENST00000430952	reg_1966	ENST00000430952.608	many2many
ENSG00000186818	ENST00000430952	reg_2036	ENST00000430952.9309	many2many
ENSG00000186818	ENST00000430952	reg_10855	ENST00000430952.1693	many2many
ENSG00000186818	ENST00000430952	reg_1997	ENST00000430952.2780	many2many
ENSG00000204577	ENST00000245620	reg_10772	ENST00000245620.4733	many2many
ENSG00000204577	ENST00000245620	reg_10573	ENST00000245620.1751	many2many
ENSG00000204577	ENST00000245620	reg_10735	ENST00000245620.1298	many2many
ENSG00000204577	ENST00000245620	reg_10662	ENST00000245620.608	many2many
ENSG00000204577	ENST00000245620	reg_10596	ENST00000245620.4701	many2many
ENSG00000204577	ENST00000245620	reg_2036	ENST00000245620.1838	many2many
ENSG00000204577	ENST00000245620	reg_1966	ENST00000245620.48	many2many
ENSG00000204577	ENST00000245620	reg_10610	ENST00000245620.5526	many2many
ENSG00000204577	ENST00000346401	reg_10772	ENST00000346401.4733	many2many
ENSG00000204577	ENST00000346401	reg_10596	ENST00000346401.4701	many2many
ENSG00000204577	ENST00000346401	reg_10573	ENST00000346401.1751	many2many
ENSG00000204577	ENST00000346401	reg_10610	ENST00000346401.5526	many2many
ENSG00000204577	ENST00000346401	reg_1966	ENST00000346401.48	many2many
ENSG00000204577	ENST00000346401	reg_2036	ENST00000346401.1838	many2many
ENSG00000204577	ENST00000346401	reg_10735	ENST00000346401.1298	many2many
ENSG00000204577	ENST00000346401	reg_10662	ENST00000346401.608	many2many
ENSG00000204577	ENST00000391750	reg_1966	ENST00000391750.48	many2many
ENSG00000204577	ENST00000391750	reg_10596	ENST00000391750.4701	many2many
ENSG00000204577	ENST00000391750	reg_10610	ENST00000391750.5526	many2many
ENSG00000204577	ENST00000391750	reg_2036	ENST00000391750.1838	many2many
ENSG00000204577	ENST00000391750	reg_10735	ENST00000391750.1298	many2many
ENSG00000204577	ENST00000391750	reg_10573	ENST00000391750.1751	many2many
ENSG00000204577	ENST00000391750	reg_10662	ENST00000391750.608	many2many
ENSG00000204577	ENST00000391750	reg_10772	ENST00000391750.4733	many2many
ENSG00000104974	ENST00000251372	reg_10596	ENST00000251372.1693	many2many
ENSG00000104974	ENST00000251372	reg_17942	ENST00000251372.100824	many2many
ENSG00000104974	ENST00000251372	reg_1984	ENST00000251372.608	many2many
ENSG00000104974	ENST00000251372	reg_18128	ENST00000251372.23644	many2many
ENSG00000104974	ENST00000251372	reg_2036	ENST00000251372.2658	many2many
ENSG00000104974	ENST00000251372	reg_2023	ENST00000251372.9772	many2many
ENSG00000104974	ENST00000251372	reg_1997	ENST00000251372.30734	many2many
ENSG00000104974	ENST00000251372	reg_10573	ENST00000251372.1501	many2many
ENSG00000165917	ENST00000298854	reg_17903	ENST00000298854.62	one2many
ENSG00000165917	ENST00000298854	reg_17915	ENST00000298854.73	one2many
ENSG00000165917	ENST00000352508	reg_17903	ENST00000352508.62	one2many
ENSG00000165917	ENST00000352508	reg_17915	ENST00000352508.73	one2many
ENSG00000165917	ENST00000524487	reg_17903	ENST00000524487.62	one2many
ENSG00000165917	ENST00000524487	reg_17915	ENST00000524487.73	one2many
ENSG00000165917	ENST00000529341	reg_17903	ENST00000529341.62	one2many
ENSG00000165917	ENST00000529341	reg_17915	ENST00000529341.73	one2many
ENSG00000170180	ENST00000503627	reg_3941	ENST00000503627.57	many2one
ENSG00000170180	ENST00000642295	reg_3941	ENST00000642295.57	many2one
ENSG00000170180	ENST00000641688	reg_3941	ENST00000641688.57	many2one
ENSG00000170180	ENST00000360771	reg_3941	ENST00000360771.57	many2one
ENSG00000170180	ENST00000504786	reg_3941	ENST00000504786.57	many2one
ENSG00000170180	ENST00000324022	reg_3941	ENST00000324022.57	many2one
ENSG00000250361	ENST00000502664	reg_3941	ENST00000502664.3095	many2one
ENSG00000250361	ENST00000638448	reg_3941	ENST00000638448.3095	many2one
ENSG00000250361	ENST00000506516	reg_3941	ENST00000506516.3095	many2one
ENSG00000250361	ENST00000429670	reg_3941	ENST00000429670.3095	many2one
ENSG00000250361	ENST00000513128	reg_3941	ENST00000513128.3095	many2one
ENSG00000197465	ENST00000437468	reg_3941	ENST00000437468.792	many2one
ENSG00000197465	ENST00000358615	reg_3941	ENST00000358615.792	many2one
ENSG00000100968	ENST00000554050	reg_4851	ENST00000554050.13	one2one
ENSG00000100968	ENST00000556279	reg_4851	ENST00000556279.13	one2one
ENSG00000100968	ENST00000553469	reg_4851	ENST00000553469.13	one2one
ENSG00000100968	ENST00000555590	reg_4851	ENST00000555590.13	one2one
ENSG00000100968	ENST00000554591	reg_4851	ENST00000554591.13	one2one
ENSG00000100968	ENST00000557451	reg_4851	ENST00000557451.13	one2one
ENSG00000100968	ENST00000554344	reg_4851	ENST00000554344.13	one2one
ENSG00000100968	ENST00000553879	reg_4851	ENST00000553879.13	one2one
ENSG00000100968	ENST00000539237	reg_4851	ENST00000539237.13	one2one
ENSG00000100968	ENST00000554661	reg_4851	ENST00000554661.13	one2one
ENSG00000100968	ENST00000250373	reg_4851	ENST00000250373.13	one2one
ENSG00000100968	ENST00000556169	reg_4851	ENST00000556169.13	one2one
ENSG00000100968	ENST00000413692	reg_4851	ENST00000413692.13	one2one
ENSG00000100968	ENST00000553708	reg_4851	ENST00000553708.13	one2one
ENSG00000100968	ENST00000424781	reg_4851	ENST00000424781.13	one2one
ENSG00000100968	ENST00000555453	reg_4851	ENST00000555453.13	one2one
ENSG00000100968	ENST00000422617	reg_4851	ENST00000422617.13	one2one
ENSG00000100968	ENST00000554966	reg_4851	ENST00000554966.13	one2one
ENSG00000177272	ENST00000369769	reg_10397	ENST00000369769.1	one2one
ENSG00000120725	ENST00000509534	reg_16969	ENST00000509534.41	one2one
ENSG00000120725	ENST00000394817	reg_16969	ENST00000394817.41	one2one
ENSG00000120725	ENST00000265195	reg_16969	ENST00000265195.41	one2one
ENSG00000180917	ENST00000338099	reg_2008	ENST00000338099.75	one2one
