8	34614293	105146113	2	131593009	203156374	+	APCF	sorAra
9	0	89197046	1	361879545	452633172	-	APCF	sorAra
9	89197046	97708965	1	347750919	358995600	+	APCF	sorAra
10	0	14695639	6	29912	15176571	+	APCF	sorAra
10	14695639	43425078	6	15178403	43911017	-	APCF	sorAra
10	43425078	46568799	6	45655546	48800318	+	APCF	sorAra
10	46568799	61831643	1	331665683	346928527	+	APCF	sorAra
10	61831643	92911869	1	299888540	331597289	-	APCF	sorAra
10	92911869	95000715	1	196954498	199043344	+	APCF	sorAra
11	0	16904125	1	173331155	190685414	+	APCF	sorAra
11	16904125	89262711	1	99748299	173237310	-	APCF	sorAra
12	0	5753590	1	93944426	99698016	-	APCF	sorAra
12	5753590	15198213	X	267788457	278034692	-	APCF	sorAra
12	15198213	80915290	6	100271038	168938940	+	APCF	sorAra
13	0	1682706	2	203169245	204851951	-	APCF	sorAra
13	1682706	6134502	2	52351685	56803481	+	APCF	sorAra
13	6134502	38241965	2	56835081	88947979	-	APCF	sorAra
13	38241965	78071035	2	89176968	129010758	-	APCF	sorAra
13	78071035	79366405	2	129252370	130547740	+	APCF	sorAra
14	0	9222627	11	50332409	59555036	+	APCF	sorAra
14	9222627	19583666	5	99602286	109963325	+	APCF	sorAra
14	19583666	27865056	3	112152951	120636030	-	APCF	sorAra
14	27865056	73011135	11	348089	46436531	-	APCF	sorAra
15	0	4478948	X	308767879	313246827	-	APCF	sorAra
15	4478948	14707863	X	278192350	288421265	-	APCF	sorAra
15	14707863	16446198	X	291156253	292894588	+	APCF	sorAra
15	16446198	72411813	X	318206732	374277343	-	APCF	sorAra
16	0	71317684	5	143129415	216526473	+	APCF	sorAra
17	0	7646646	6	90364284	98538861	-	APCF	sorAra
17	7646646	50505418	10	5884879	49224774	-	APCF	sorAra
17	50505418	67104689	2	212327374	228931810	+	APCF	sorAra
17	67104689	68373867	6	82724130	83993308	+	APCF	sorAra
18	0	4987836	1	225134264	230746213	-	APCF	sorAra
18	4987836	17756417	1	230941194	243711477	-	APCF	sorAra
18	17756417	24501961	1	218347453	225122560	+	APCF	sorAra
18	24501961	67286903	1	244127059	286918211	+	APCF	sorAra
19	0	2324543	4	71269860	73594403	+	APCF	sorAra
19	2324543	4176362	5	97713179	99564998	-	APCF	sorAra
19	4176362	11995716	6	71596546	79415900	-	APCF	sorAra
19	11995716	46904112	3	183377221	220265616	+	APCF	sorAra
19	46904112	48613385	3	221086935	222796208	-	APCF	sorAra
19	48613385	64407135	3	222859985	239560051	+	APCF	sorAra
20	0	29287112	9	55767	35045357	+	APCF	sorAra
20	29287112	31689792	9	35062534	37465214	-	APCF	sorAra
20	31689792	61290199	9	37603632	68625139	+	APCF	sorAra
20	61290199	63720726	5	140643659	143074186	-	APCF	sorAra
21	0	37121986	7	40138800	77569181	-	APCF	sorAra
21	37121986	38920819	7	38322377	40121210	+	APCF	sorAra
21	38920819	61244087	7	14035401	38088903	-	APCF	sorAra
22	0	48945681	8	53070	57212684	+	APCF	sorAra
23	0	6720991	3	176132559	183369570	-	APCF	sorAra
23	6720991	29095927	3	153557636	175933487	+	APCF	sorAra
24	0	1184960	2	229098195	230283155	-	APCF	sorAra
24	1184960	3762364	6	79514332	82091736	-	APCF	sorAra
24	3762364	10107066	6	84008987	90353689	+	APCF	sorAra
24	10107066	28650375	10	49224774	67830798	+	APCF	sorAra
25	0	10462965	4	212463507	222928175	-	APCF	sorAra
25	10462965	12617375	4	209150780	211305190	+	APCF	sorAra
25	12617375	17307531	4	204240868	208931024	-	APCF	sorAra
26	0	12037119	X	293564553	306404560	+	APCF	sorAra
26	12037119	15777665	X	314338194	318078740	+	APCF	sorAra
27	0	10805272	4	192159141	203469532	+	APCF	sorAra
27	10805272	13196381	X	160482309	162873418	-	APCF	sorAra
28	0	5909092	2	275677297	281586389	-	APCF	sorAra
28	5909092	13028957	2	267350869	274628388	+	APCF	sorAra
29	0	6768008	2	252849935	259617943	-	APCF	sorAra
29	6768008	7808423	2	260219885	261260300	+	APCF	sorAra
29	7808423	10056635	2	247423191	249671403	-	APCF	sorAra
30	0	7239852	6	48972629	57779578	-	APCF	sorAra
30	7239852	8717228	6	58288346	59765722	-	APCF	sorAra
31	0	7461370	6	63528561	71447506	+	APCF	sorAra
32	0	1624800	2	235840223	237465023	-	APCF	sorAra
32	1624800	3356383	2	243020913	244752496	-	APCF	sorAra
32	3356383	4656635	2	238985254	240285506	+	APCF	sorAra
33	0	1318021	2	233784168	235102189	-	APCF	sorAra
33	1318021	2429963	2	231712030	232823972	+	APCF	sorAra
34	0	1658933	3	96885449	98544382	+	APCF	sorAra
35	0	1250881	2	262643066	263893947	+	APCF	sorAra
36	0	1039369	5	86355768	87395137	+	APCF	sorAra
